function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
sine,3,128,0.1,0.1,1,0.14705533757805825,,1.4705533757805824,1.4705533757805824
sine,3,128,0.1,1.0,1,0.004696846008300781,,0.004696846008300781,0.004696846008300781
sine,3,128,0.5,0.0001,1,0.0013925773721188306,,13.925773721188303,13.925773721188303
sine,3,128,0.5,0.001,1,0.0049393180049955845,,4.9393180049955845,4.9393180049955845
sine,3,128,0.5,0.01,1,0.000198815241456032,,0.0198815241456032,0.0198815241456032
sine,3,128,0.5,0.1,1,0.04168919622898101,,0.4168919622898101,0.4168919622898101
sine,3,128,0.5,1.0,1,0.05867856740951538,,0.05867856740951538,0.05867856740951538
sine,3,256,0.1,0.0001,1,0.00029984981412999333,,2.998498141299933,2.998498141299933
sine,3,256,0.1,0.001,1,0.00273114612698555,,2.73114612698555,2.73114612698555
sine,3,256,0.1,0.01,1,0.002262199986726046,,0.2262199986726046,0.2262199986726046
sine,3,256,0.1,0.1,1,0.05094162970781327,,0.5094162970781326,0.5094162970781326
sine,3,256,0.1,1.0,1,0.11857914924621582,,0.11857914924621582,0.11857914924621582
sine,3,256,0.5,0.0001,1,0.0008827306399121881,,8.82730639912188,8.82730639912188
sine,3,256,0.5,0.001,1,0.0023975010737776756,,2.3975010737776756,2.3975010737776756
sine,3,256,0.5,0.01,1,0.00033973366022110006,,0.033973366022110006,0.033973366022110006
sine,3,256,0.5,0.1,1,0.26380892992019656,,2.6380892992019653,2.6380892992019653
sine,3,256,0.5,1.0,1,0.2127220630645752,0.0,0.2127220630645752,0.2127220630645752
sine,5,64,0.1,0.0001,1,0.00010295332069508732,,1.0295332069508731,1.0295332069508731
sine,5,64,0.1,0.001,1,0.001353244337020442,,1.353244337020442,1.353244337020442
sine,5,64,0.1,0.01,1,0.05656190052628517,,5.656190052628517,5.656190052628517
sine,5,64,0.1,0.1,1,0.0933469844982028,,0.933469844982028,0.933469844982028
sine,5,64,0.1,1.0,1,0.0653262734413147,,0.0653262734413147,0.0653262734413147
sine,5,64,0.5,0.0001,1,0.0019460819264873865,,19.460819264873862,19.460819264873862
sine,5,64,0.5,0.001,1,0.0038352694138884544,0.0,3.8352694138884544,3.8352694138884544
sine,5,64,0.5,0.01,1,0.18595432698726655,,18.595432698726658,18.595432698726658
sine,5,64,0.5,0.1,1,0.05789134502410889,,0.5789134502410889,0.5789134502410889
sine,5,64,0.5,1.0,1,0.24131906032562256,,0.24131906032562256,0.24131906032562256
sine,5,128,0.1,0.0001,1,0.002557529539242386,,25.575295392423865,25.575295392423865
sine,5,128,0.1,0.001,1,0.003986581392586231,,3.9865813925862312,3.9865813925862312
sine,5,128,0.1,0.01,1,0.0598291477560997,,5.98291477560997,5.98291477560997
sine,5,128,0.1,0.1,1,0.015150977671146398,,0.15150977671146398,0.15150977671146398
sine,5,128,0.1,1.0,1,0.4681980609893799,,0.4681980609893799,0.4681980609893799
sine,5,128,0.5,0.0001,1,0.0010737410677596926,,10.737410677596923,10.737410677596923
sine,5,128,0.5,0.01,1,0.0894378924369812,,8.94378924369812,8.94378924369812
sine,5,128,0.5,0.1,1,0.10802859012037516,,1.0802859012037516,1.0802859012037516
sine,5,128,0.5,1.0,1,0.39528167247772217,,0.39528167247772217,0.39528167247772217
sine,5,256,0.1,0.0001,1,0.00021520376796834172,,2.152037679683417,2.152037679683417
sine,5,256,0.1,0.001,1,0.0039654399044811725,,3.965439904481173,3.965439904481173
sine,5,256,0.1,0.01,1,0.203697988986969,,20.3697988986969,20.3697988986969
sine,5,256,0.1,0.1,1,0.2314395517110825,,2.3143955171108246,2.3143955171108246
sine,5,256,0.1,1.0,1,0.13434678316116333,,0.13434678316116333,0.13434678316116333
sine,5,256,0.5,0.0001,1,6.796117193298415e-05,,0.6796117193298414,0.6796117193298414
sine,5,256,0.5,0.001,1,0.0006494969604536891,,0.6494969604536891,0.6494969604536891
sine,5,256,0.5,0.01,1,0.034262196868658064,,3.426219686865806,3.426219686865806
sine,5,256,0.5,0.1,1,0.06522562503814697,,0.6522562503814696,0.6522562503814696
sine,5,256,0.5,1.0,1,0.29047971963882446,,0.29047971963882446,0.29047971963882446
